Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -1678.318    -1678.318        0.000     0.0
0.0010        -1678.405    -1679.636        1.231    29.4
0.0020        -1678.543    -1681.665        3.122    74.5
0.0030        -1678.447    -1681.961        3.513    83.9
0.0040        -1678.196    -1680.835        2.640    63.0
0.0050        -1678.121    -1680.819        2.698    64.4
0.0060        -1678.257    -1682.583        4.326   103.3
0.0070        -1678.306    -1683.766        5.460   130.4
0.0080        -1678.194    -1682.917        4.723   112.8
0.0090        -1677.919    -1681.317        3.398    81.1
0.0100        -1677.877    -1681.370        3.494    83.4
0.0110        -1678.040    -1683.053        5.013   119.7
0.0120        -1678.128    -1684.049        5.921   141.4
0.0130        -1678.002    -1683.494        5.492   131.1
0.0140        -1677.858    -1682.831        4.973   118.8
0.0150        -1677.924    -1683.518        5.593   133.6
0.0160        -1677.975    -1684.715        6.740   160.9
0.0170        -1677.942    -1684.652        6.710   160.2
0.0180        -1677.790    -1683.262        5.472   130.7
0.0190        -1677.698    -1682.201        4.503   107.5
0.0200        -1677.754    -1682.545        4.791   114.4
0.0210        -1677.827    -1683.289        5.461   130.4
0.0220        -1677.721    -1683.194        5.473   130.7
0.0230        -1677.583    -1682.684        5.101   121.8
0.0240        -1677.553    -1682.888        5.335   127.4
0.0250        -1677.662    -1683.843        6.181   147.6
0.0260        -1677.637    -1684.478        6.841   163.3
0.0270        -1677.608    -1684.053        6.445   153.9
0.0280        -1677.504    -1683.192        5.688   135.8
0.0290        -1677.513    -1682.929        5.416   129.3
0.0300        -1677.543    -1683.214        5.671   135.4
0.0310        -1677.522    -1683.252        5.730   136.8
0.0320        -1677.418    -1682.932        5.515   131.7
0.0330        -1677.406    -1682.827        5.421   129.4
0.0340        -1677.409    -1683.344        5.935   141.7
0.0350        -1677.453    -1684.026        6.574   157.0
0.0360        -1677.410    -1684.187        6.777   161.8
0.0370        -1677.306    -1683.819        6.513   155.5
0.0380        -1677.239    -1683.520        6.281   150.0
0.0390        -1677.238    -1683.482        6.244   149.1
0.0400        -1677.192    -1683.396        6.203   148.1
0.0410        -1677.146    -1683.120        5.974   142.6
0.0420        -1677.087    -1682.897        5.810   138.7
0.0430        -1677.031    -1683.055        6.024   143.8
0.0440        -1676.991    -1683.527        6.536   156.1
0.0450        -1677.004    -1683.926        6.921   165.3
0.0460        -1676.947    -1684.029        7.082   169.1
0.0470        -1676.844    -1683.976        7.132   170.3
0.0480        -1676.818    -1683.905        7.088   169.2
0.0490        -1676.795    -1683.805        7.010   167.4
0.0500        -1676.751    -1683.655        6.904   164.9
0.0510        -1676.690    -1683.446        6.756   161.3
0.0520        -1676.612    -1683.331        6.719   160.4
0.0530        -1676.629    -1683.462        6.832   163.1
0.0540        -1676.574    -1683.685        7.110   169.8
0.0550        -1676.604    -1683.883        7.279   173.8
0.0560        -1676.602    -1684.107        7.506   179.2
0.0570        -1676.616    -1684.260        7.644   182.5
0.0580        -1676.557    -1684.147        7.590   181.2
0.0590        -1676.519    -1683.752        7.233   172.7
0.0600        -1676.479    -1683.323        6.844   163.4
0.0610        -1676.420    -1683.104        6.684   159.6
0.0620        -1676.393    -1683.163        6.770   161.6
0.0630        -1676.374    -1683.256        6.881   164.3
0.0640        -1676.319    -1683.151        6.832   163.1
0.0650        -1676.288    -1683.143        6.855   163.7
0.0660        -1676.302    -1683.562        7.260   173.3
0.0670        -1676.328    -1684.039        7.711   184.1
0.0680        -1676.263    -1684.100        7.836   187.1
0.0690        -1676.244    -1683.785        7.542   180.1
0.0700        -1676.192    -1683.495        7.303   174.4
0.0710        -1676.200    -1683.526        7.326   174.9
0.0720        -1676.247    -1683.788        7.541   180.1
0.0730        -1676.281    -1683.932        7.652   182.7
0.0740        -1676.233    -1683.768        7.534   179.9
0.0750        -1676.278    -1683.690        7.412   177.0
0.0760        -1676.295    -1684.077        7.782   185.8
0.0770        -1676.324    -1684.558        8.234   196.6
0.0780        -1676.326    -1684.672        8.346   199.3
0.0790        -1676.304    -1684.450        8.146   194.5
0.0800        -1676.192    -1684.133        7.941   189.6
0.0810        -1676.175    -1684.089        7.914   189.0
0.0820        -1676.142    -1684.288        8.146   194.5
0.0830        -1676.118    -1684.360        8.242   196.8
0.0840        -1676.084    -1684.165        8.081   193.0
0.0850        -1676.111    -1683.952        7.841   187.2
0.0860        -1676.082    -1684.051        7.970   190.3
0.0870        -1676.081    -1684.334        8.253   197.1
0.0880        -1676.056    -1684.393        8.338   199.1
0.0890        -1676.064    -1684.169        8.105   193.5
0.0900        -1676.022    -1683.931        7.909   188.9
0.0910        -1675.996    -1683.880        7.884   188.3
0.0920        -1676.008    -1683.876        7.868   187.9
0.0930        -1676.002    -1683.846        7.844   187.3
0.0940        -1675.937    -1683.819        7.881   188.2
0.0950        -1675.950    -1683.782        7.831   187.0
0.0960        -1675.949    -1683.850        7.901   188.7
0.0970        -1675.969    -1684.116        8.147   194.5
0.0980        -1676.089    -1684.269        8.180   195.3
0.0990        -1676.076    -1684.259        8.183   195.4
0.1000        -1676.037    -1684.286        8.249   197.0
0.1010        -1676.136    -1684.386        8.250   197.0
0.1020        -1676.128    -1684.387        8.259   197.2
0.1030        -1676.109    -1684.243        8.133   194.2
0.1040        -1676.107    -1684.160        8.053   192.3
0.1050        -1676.152    -1684.254        8.102   193.4
0.1060        -1676.169    -1684.388        8.219   196.3
0.1070        -1676.120    -1684.333        8.213   196.1
0.1080        -1676.052    -1684.106        8.054   192.3
0.1090        -1676.034    -1684.129        8.096   193.3
0.1100        -1676.028    -1684.382        8.354   199.5
0.1110        -1675.991    -1684.451        8.460   202.0
0.1120        -1675.930    -1684.211        8.281   197.7
0.1130        -1675.870    -1683.942        8.072   192.7
0.1140        -1675.826    -1683.977        8.151   194.6
0.1150        -1675.809    -1684.277        8.469   202.2
0.1160        -1675.854    -1684.407        8.553   204.2
0.1170        -1675.823    -1684.210        8.387   200.3
0.1180        -1675.824    -1684.080        8.256   197.1
0.1190        -1675.908    -1684.278        8.369   199.8
0.1200        -1675.954    -1684.448        8.494   202.8
0.1210        -1675.863    -1684.359        8.496   202.9
0.1220        -1675.753    -1684.226        8.473   202.3
0.1230        -1675.788    -1684.240        8.452   201.8
0.1240        -1675.819    -1684.320        8.500   203.0
0.1250        -1675.834    -1684.385        8.550   204.2
0.1260        -1675.817    -1684.390        8.573   204.7
0.1270        -1675.845    -1684.369        8.525   203.5
0.1280        -1675.925    -1684.466        8.540   203.9
0.1290        -1675.961    -1684.575        8.613   205.7
0.1300        -1675.926    -1684.518        8.593   205.2
0.1310        -1675.887    -1684.478        8.591   205.1
0.1320        -1675.918    -1684.735        8.816   210.5
0.1330        -1675.944    -1685.099        9.155   218.6
0.1340        -1675.844    -1685.158        9.314   222.4
0.1350        -1675.868    -1684.987        9.119   217.7
0.1360        -1675.882    -1684.924        9.042   215.9
0.1370        -1675.883    -1685.065        9.182   219.3
0.1380        -1675.834    -1685.163        9.329   222.7
0.1390        -1675.799    -1685.019        9.220   220.2
0.1400        -1675.746    -1684.730        8.984   214.5
0.1410        -1675.751    -1684.605        8.854   211.4
0.1420        -1675.805    -1684.802        8.997   214.8
0.1430        -1675.839    -1685.028        9.188   219.4
0.1440        -1675.839    -1684.980        9.141   218.3
0.1450        -1675.808    -1684.806        8.999   214.9
0.1460        -1675.849    -1684.776        8.927   213.2
0.1470        -1675.861    -1684.829        8.968   214.1
0.1480        -1675.813    -1684.750        8.937   213.4
0.1490        -1675.738    -1684.565        8.827   210.8
0.1500        -1675.721    -1684.494        8.774   209.5
0.1510        -1675.712    -1684.611        8.900   212.5
0.1520        -1675.631    -1684.690        9.059   216.3
0.1530        -1675.623    -1684.579        8.956   213.8
0.1540        -1675.588    -1684.513        8.926   213.1
0.1550        -1675.627    -1684.682        9.055   216.2
0.1560        -1675.650    -1684.895        9.245   220.7
0.1570        -1675.582    -1684.832        9.250   220.9
0.1580        -1675.571    -1684.607        9.036   215.7
0.1590        -1675.563    -1684.510        8.947   213.6
0.1600        -1675.613    -1684.601        8.988   214.6
0.1610        -1675.678    -1684.799        9.121   217.8
0.1620        -1675.657    -1684.838        9.181   219.2
0.1630        -1675.598    -1684.654        9.056   216.2
0.1640        -1675.541    -1684.622        9.081   216.8
0.1650        -1675.614    -1684.845        9.231   220.4
0.1660        -1675.640    -1684.985        9.346   223.1
0.1670        -1675.590    -1684.885        9.295   221.9
0.1680        -1675.521    -1684.646        9.124   217.9
0.1690        -1675.518    -1684.508        8.989   214.6
0.1700        -1675.514    -1684.572        9.057   216.3
0.1710        -1675.473    -1684.663        9.190   219.4
0.1720        -1675.437    -1684.567        9.131   218.0
0.1730        -1675.508    -1684.462        8.954   213.8
0.1740        -1675.477    -1684.598        9.121   217.8
0.1750        -1675.488    -1684.799        9.311   222.3
0.1760        -1675.444    -1684.933        9.489   226.6
0.1770        -1675.477    -1684.936        9.459   225.9
0.1780        -1675.538    -1684.838        9.300   222.1
0.1790        -1675.616    -1684.836        9.220   220.2
0.1800        -1675.600    -1684.875        9.275   221.5
0.1810        -1675.630    -1684.719        9.089   217.0
0.1820        -1675.473    -1684.579        9.106   217.4
0.1830        -1675.399    -1684.670        9.272   221.4
0.1840        -1675.405    -1684.783        9.379   223.9
0.1850        -1675.376    -1684.742        9.367   223.6
0.1860        -1675.324    -1684.716        9.392   224.3
0.1870        -1675.245    -1684.872        9.626   229.9
0.1880        -1675.338    -1685.061        9.723   232.2
0.1890        -1675.279    -1685.065        9.786   233.7
0.1900        -1675.156    -1684.913        9.757   233.0
0.1910        -1675.121    -1684.838        9.717   232.0
0.1920        -1675.210    -1684.915        9.705   231.7
0.1930        -1675.144    -1684.980        9.836   234.9
0.1940        -1675.166    -1684.966        9.800   234.0
0.1950        -1675.222    -1685.015        9.794   233.8
0.1960        -1675.180    -1685.225       10.045   239.8
0.1970        -1675.149    -1685.498       10.349   247.1
0.1980        -1675.050    -1685.550       10.500   250.7
0.1990        -1675.017    -1685.394       10.377   247.8
0.2000        -1675.016    -1685.320       10.304   246.0
0.2010        -1674.988    -1685.366       10.377   247.8
0.2020        -1674.937    -1685.347       10.410   248.6
0.2030        -1674.947    -1685.182       10.235   244.4
0.2040        -1674.906    -1684.987       10.081   240.7
0.2050        -1674.950    -1684.923        9.973   238.1
0.2060        -1674.955    -1684.983       10.029   239.5
0.2070        -1674.921    -1685.049       10.128   241.8
0.2080        -1674.926    -1684.988       10.062   240.3
