Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -1677.384    -1677.384        0.000     0.0
0.0010        -1677.469    -1678.684        1.214    29.0
0.0020        -1677.561    -1680.683        3.122    74.5
0.0030        -1677.522    -1680.969        3.447    82.3
0.0040        -1677.291    -1679.874        2.584    61.7
0.0050        -1677.243    -1679.831        2.589    61.8
0.0060        -1677.310    -1681.535        4.225   100.9
0.0070        -1677.338    -1682.791        5.453   130.2
0.0080        -1677.280    -1682.093        4.814   114.9
0.0090        -1677.150    -1680.504        3.354    80.1
0.0100        -1677.131    -1680.402        3.271    78.1
0.0110        -1677.276    -1682.005        4.729   112.9
0.0120        -1677.305    -1683.063        5.758   137.5
0.0130        -1677.215    -1682.509        5.295   126.4
0.0140        -1677.035    -1681.743        4.709   112.4
0.0150        -1676.983    -1682.345        5.363   128.1
0.0160        -1677.119    -1683.566        6.446   153.9
0.0170        -1677.064    -1683.667        6.602   157.6
0.0180        -1676.915    -1682.387        5.471   130.6
0.0190        -1676.744    -1681.145        4.400   105.1
0.0200        -1676.748    -1681.263        4.515   107.8
0.0210        -1676.810    -1682.067        5.257   125.5
0.0220        -1676.791    -1682.032        5.242   125.2
0.0230        -1676.657    -1681.283        4.626   110.5
0.0240        -1676.551    -1681.254        4.703   112.3
0.0250        -1676.614    -1682.274        5.660   135.1
0.0260        -1676.608    -1683.109        6.500   155.2
0.0270        -1676.559    -1682.867        6.308   150.6
0.0280        -1676.471    -1682.111        5.640   134.7
0.0290        -1676.395    -1681.725        5.330   127.3
0.0300        -1676.369    -1682.023        5.655   135.0
0.0310        -1676.402    -1682.224        5.822   139.0
0.0320        -1676.360    -1681.777        5.417   129.3
0.0330        -1676.267    -1681.380        5.113   122.1
0.0340        -1676.263    -1681.809        5.546   132.4
0.0350        -1676.279    -1682.661        6.382   152.4
0.0360        -1676.283    -1683.068        6.785   162.0
0.0370        -1676.218    -1682.895        6.676   159.4
0.0380        -1676.203    -1682.644        6.441   153.8
0.0390        -1676.160    -1682.594        6.434   153.6
0.0400        -1676.175    -1682.634        6.459   154.2
0.0410        -1676.091    -1682.428        6.336   151.3
0.0420        -1676.076    -1681.992        5.916   141.3
0.0430        -1676.003    -1681.853        5.850   139.7
0.0440        -1676.032    -1682.217        6.185   147.7
0.0450        -1676.019    -1682.657        6.638   158.5
0.0460        -1675.992    -1682.878        6.886   164.4
0.0470        -1675.992    -1682.952        6.960   166.2
0.0480        -1675.895    -1682.928        7.033   167.9
0.0490        -1675.795    -1682.801        7.006   167.3
0.0500        -1675.777    -1682.730        6.953   166.0
0.0510        -1675.770    -1682.587        6.817   162.8
0.0520        -1675.777    -1682.297        6.520   155.7
0.0530        -1675.778    -1682.161        6.383   152.4
0.0540        -1675.762    -1682.309        6.547   156.3
0.0550        -1675.730    -1682.481        6.751   161.2
0.0560        -1675.784    -1682.606        6.821   162.9
0.0570        -1675.773    -1682.717        6.944   165.8
0.0580        -1675.726    -1682.777        7.052   168.4
0.0590        -1675.712    -1682.750        7.038   168.1
0.0600        -1675.753    -1682.688        6.935   165.6
0.0610        -1675.732    -1682.515        6.783   162.0
0.0620        -1675.723    -1682.237        6.513   155.5
0.0630        -1675.617    -1682.198        6.581   157.1
0.0640        -1675.604    -1682.404        6.800   162.4
0.0650        -1675.586    -1682.597        7.011   167.4
0.0660        -1675.589    -1682.706        7.117   169.9
0.0670        -1675.624    -1682.843        7.220   172.4
0.0680        -1675.608    -1683.080        7.472   178.4
0.0690        -1675.598    -1683.300        7.701   183.9
0.0700        -1675.581    -1683.339        7.758   185.3
0.0710        -1675.531    -1683.149        7.617   181.9
0.0720        -1675.564    -1683.044        7.480   178.6
0.0730        -1675.596    -1683.191        7.595   181.4
0.0740        -1675.697    -1683.299        7.602   181.5
0.0750        -1675.660    -1683.245        7.585   181.1
0.0760        -1675.607    -1683.273        7.666   183.1
0.0770        -1675.579    -1683.430        7.851   187.5
0.0780        -1675.572    -1683.573        8.001   191.0
0.0790        -1675.509    -1683.696        8.187   195.5
0.0800        -1675.495    -1683.735        8.240   196.8
0.0810        -1675.427    -1683.660        8.233   196.6
0.0820        -1675.441    -1683.593        8.151   194.6
0.0830        -1675.432    -1683.564        8.132   194.2
0.0840        -1675.324    -1683.475        8.151   194.6
0.0850        -1675.288    -1683.493        8.205   195.9
0.0860        -1675.255    -1683.653        8.398   200.5
0.0870        -1675.204    -1683.701        8.497   202.9
0.0880        -1675.141    -1683.514        8.372   199.9
0.0890        -1675.013    -1683.339        8.327   198.8
0.0900        -1675.077    -1683.430        8.352   199.4
0.0910        -1675.104    -1683.641        8.537   203.9
0.0920        -1675.082    -1683.481        8.399   200.6
0.0930        -1674.997    -1682.963        7.966   190.2
0.0940        -1674.956    -1682.614        7.658   182.9
0.0950        -1674.943    -1682.814        7.871   187.9
0.0960        -1674.910    -1683.203        8.292   198.0
0.0970        -1674.934    -1683.191        8.257   197.2
0.0980        -1674.808    -1682.817        8.009   191.2
0.0990        -1674.739    -1682.675        7.936   189.5
0.1000        -1674.753    -1683.118        8.364   199.7
0.1010        -1674.814    -1683.483        8.669   207.0
0.1020        -1674.740    -1683.244        8.505   203.1
0.1030        -1674.624    -1682.952        8.328   198.9
0.1040        -1674.660    -1682.989        8.328   198.9
0.1050        -1674.601    -1683.216        8.615   205.7
0.1060        -1674.598    -1683.404        8.805   210.3
0.1070        -1674.565    -1683.381        8.815   210.5
0.1080        -1674.508    -1683.180        8.672   207.1
0.1090        -1674.424    -1683.172        8.748   208.9
0.1100        -1674.384    -1683.459        9.076   216.7
0.1110        -1674.405    -1683.470        9.065   216.4
0.1120        -1674.291    -1683.148        8.857   211.5
0.1130        -1674.274    -1683.038        8.764   209.3
0.1140        -1674.270    -1683.220        8.949   213.7
0.1150        -1674.247    -1683.395        9.149   218.4
0.1160        -1674.249    -1683.361        9.111   217.6
0.1170        -1674.167    -1683.266        9.099   217.3
0.1180        -1674.186    -1683.379        9.192   219.5
0.1190        -1674.141    -1683.667        9.526   227.5
0.1200        -1674.183    -1683.807        9.625   229.8
0.1210        -1674.188    -1683.681        9.493   226.7
0.1220        -1674.106    -1683.565        9.459   225.9
0.1230        -1674.089    -1683.590        9.501   226.9
0.1240        -1674.024    -1683.597        9.573   228.6
0.1250        -1673.987    -1683.573        9.586   228.9
0.1260        -1674.020    -1683.518        9.499   226.8
0.1270        -1673.981    -1683.416        9.435   225.3
0.1280        -1673.950    -1683.395        9.445   225.5
0.1290        -1673.955    -1683.421        9.467   226.0
0.1300        -1673.970    -1683.366        9.396   224.4
0.1310        -1673.962    -1683.134        9.171   219.0
0.1320        -1673.898    -1683.007        9.108   217.5
0.1330        -1673.932    -1683.121        9.188   219.4
0.1340        -1673.950    -1683.164        9.214   220.0
0.1350        -1673.920    -1683.051        9.131   218.0
0.1360        -1673.921    -1682.949        9.029   215.6
0.1370        -1673.924    -1682.924        9.000   214.9
0.1380        -1673.984    -1682.972        8.987   214.6
0.1390        -1673.967    -1683.086        9.119   217.7
0.1400        -1673.992    -1683.164        9.172   219.0
0.1410        -1674.053    -1682.978        8.925   213.1
