Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -1703.920    -1703.920        0.000     0.0
0.0010        -1704.013    -1705.287        1.274    30.4
0.0020        -1704.145    -1707.472        3.327    79.5
0.0030        -1704.085    -1707.783        3.697    88.3
0.0040        -1703.859    -1706.654        2.795    66.7
0.0050        -1703.795    -1707.047        3.252    77.7
0.0060        -1703.944    -1709.101        5.156   123.1
0.0070        -1703.875    -1709.839        5.964   142.4
0.0080        -1703.717    -1708.454        4.737   113.1
0.0090        -1703.525    -1707.196        3.670    87.6
0.0100        -1703.572    -1708.018        4.446   106.2
0.0110        -1703.699    -1709.704        6.005   143.4
0.0120        -1703.671    -1710.116        6.445   153.9
0.0130        -1703.542    -1709.319        5.777   137.9
0.0140        -1703.451    -1709.306        5.856   139.8
0.0150        -1703.590    -1710.470        6.880   164.3
0.0160        -1703.613    -1710.896        7.284   173.9
0.0170        -1703.477    -1709.748        6.271   149.7
0.0180        -1703.329    -1708.353        5.024   120.0
0.0190        -1703.295    -1708.093        4.798   114.6
0.0200        -1703.375    -1708.652        5.278   126.0
0.0210        -1703.352    -1708.908        5.556   132.7
0.0220        -1703.264    -1708.642        5.378   128.4
0.0230        -1703.230    -1708.734        5.504   131.4
0.0240        -1703.306    -1709.580        6.274   149.8
0.0250        -1703.316    -1710.252        6.937   165.6
0.0260        -1703.260    -1710.002        6.741   161.0
0.0270        -1703.226    -1709.326        6.100   145.6
0.0280        -1703.165    -1708.943        5.778   138.0
0.0290        -1703.182    -1708.988        5.806   138.6
0.0300        -1703.171    -1709.062        5.891   140.7
0.0310        -1703.175    -1709.013        5.838   139.4
0.0320        -1703.071    -1709.067        5.996   143.2
0.0330        -1703.012    -1709.524        6.512   155.5
0.0340        -1703.135    -1710.169        7.034   168.0
0.0350        -1703.082    -1710.483        7.401   176.7
0.0360        -1703.029    -1710.302        7.272   173.6
0.0370        -1703.009    -1709.886        6.877   164.2
0.0380        -1703.031    -1709.575        6.544   156.3
0.0390        -1703.048    -1709.508        6.460   154.3
0.0400        -1703.030    -1709.576        6.547   156.3
0.0410        -1703.024    -1709.652        6.628   158.3
0.0420        -1702.983    -1709.725        6.741   161.0
0.0430        -1702.977    -1710.074        7.098   169.5
0.0440        -1702.953    -1710.752        7.798   186.2
0.0450        -1702.881    -1711.133        8.252   197.0
0.0460        -1702.776    -1710.827        8.050   192.2
0.0470        -1702.678    -1710.319        7.641   182.4
0.0480        -1702.669    -1710.075        7.406   176.8
0.0490        -1702.645    -1709.963        7.319   174.7
0.0500        -1702.620    -1709.745        7.125   170.1
0.0510        -1702.556    -1709.482        6.926   165.4
0.0520        -1702.552    -1709.578        7.026   167.8
0.0530        -1702.601    -1710.064        7.463   178.2
0.0540        -1702.610    -1710.476        7.866   187.8
0.0550        -1702.540    -1710.469        7.929   189.3
0.0560        -1702.428    -1710.249        7.821   186.8
0.0570        -1702.471    -1710.148        7.677   183.3
0.0580        -1702.490    -1710.080        7.591   181.2
0.0590        -1702.455    -1709.853        7.398   176.7
0.0600        -1702.403    -1709.512        7.108   169.7
0.0610        -1702.369    -1709.472        7.103   169.6
0.0620        -1702.317    -1709.803        7.486   178.7
0.0630        -1702.280    -1710.204        7.924   189.2
0.0640        -1702.228    -1710.522        8.293   198.0
0.0650        -1702.200    -1710.656        8.456   201.9
0.0660        -1702.153    -1710.539        8.386   200.2
0.0670        -1702.156    -1710.390        8.234   196.6
0.0680        -1702.174    -1710.269        8.095   193.3
0.0690        -1702.150    -1710.064        7.914   189.0
0.0700        -1702.083    -1709.771        7.688   183.6
0.0710        -1701.991    -1709.544        7.553   180.4
0.0720        -1701.967    -1709.661        7.694   183.7
0.0730        -1701.958    -1710.045        8.087   193.1
0.0740        -1701.941    -1710.421        8.480   202.5
0.0750        -1701.889    -1710.545        8.656   206.7
0.0760        -1701.841    -1710.413        8.572   204.7
0.0770        -1701.788    -1710.419        8.631   206.1
0.0780        -1701.889    -1710.638        8.749   208.9
0.0790        -1701.883    -1710.577        8.694   207.6
0.0800        -1701.818    -1710.133        8.314   198.5
0.0810        -1701.742    -1709.937        8.195   195.7
0.0820        -1701.756    -1710.264        8.508   203.1
0.0830        -1701.838    -1710.703        8.865   211.7
0.0840        -1701.873    -1710.818        8.945   213.6
0.0850        -1701.862    -1710.598        8.736   208.6
0.0860        -1701.832    -1710.451        8.619   205.8
0.0870        -1701.879    -1710.598        8.719   208.2
0.0880        -1701.877    -1710.456        8.579   204.9
0.0890        -1701.865    -1709.875        8.009   191.2
0.0900        -1701.834    -1709.480        7.646   182.6
0.0910        -1701.760    -1709.581        7.821   186.8
0.0920        -1701.759    -1709.843        8.083   193.0
0.0930        -1701.724    -1709.960        8.236   196.7
0.0940        -1701.673    -1709.962        8.289   197.9
0.0950        -1701.696    -1710.155        8.460   202.0
0.0960        -1701.732    -1710.575        8.843   211.2
0.0970        -1701.752    -1710.745        8.993   214.7
0.0980        -1701.735    -1710.453        8.718   208.2
0.0990        -1701.702    -1710.247        8.545   204.0
0.1000        -1701.705    -1710.374        8.670   207.0
0.1010        -1701.676    -1710.504        8.829   210.8
0.1020        -1701.598    -1710.430        8.832   210.9
0.1030        -1701.621    -1710.334        8.713   208.0
0.1040        -1701.562    -1710.493        8.930   213.2
0.1050        -1701.609    -1710.685        9.077   216.7
0.1060        -1701.605    -1710.571        8.967   214.1
0.1070        -1701.542    -1710.233        8.691   207.5
0.1080        -1701.537    -1710.037        8.500   203.0
0.1090        -1701.508    -1710.034        8.526   203.6
0.1100        -1701.493    -1710.048        8.555   204.3
0.1110        -1701.413    -1710.031        8.618   205.8
0.1120        -1701.400    -1710.069        8.669   207.0
0.1130        -1701.405    -1710.180        8.775   209.5
0.1140        -1701.427    -1710.316        8.889   212.3
0.1150        -1701.475    -1710.405        8.930   213.2
0.1160        -1701.418    -1710.436        9.018   215.3
0.1170        -1701.459    -1710.514        9.055   216.2
0.1180        -1701.406    -1710.410        9.005   215.0
0.1190        -1701.307    -1710.097        8.790   209.9
0.1200        -1701.305    -1710.012        8.707   207.9
0.1210        -1701.372    -1710.292        8.920   213.0
0.1220        -1701.411    -1710.437        9.026   215.5
0.1230        -1701.339    -1710.207        8.867   211.7
0.1240        -1701.302    -1710.014        8.713   208.0
0.1250        -1701.331    -1710.104        8.773   209.5
0.1260        -1701.338    -1710.236        8.898   212.5
0.1270        -1701.376    -1710.115        8.739   208.7
0.1280        -1701.402    -1709.782        8.379   200.1
0.1290        -1701.360    -1709.726        8.367   199.8
